,album_date,artist_id,artist_name,mp3,track_id,track_length,track_name,track_pop,acousticness,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
34,2012-05-16,12q8WblexNLJ0QGejfoeXK,Beatamines,https://p.scdn.co/mp3-preview/ad51dc1f94709192443a755707c8d466ade3f640?cid=142c36ced4ff4aa68d784c0db9923467,47VVwK4rZskbg7dCgA0DhJ,468810,How Never,42,0.00944,0.861,468811,0.667,47VVwK4rZskbg7dCgA0DhJ,0.328,4,0.101,-8.959,0,0.124,124.011,4,0.3
35,2012-05-11,12q8WblexNLJ0QGejfoeXK,Beatamines,https://p.scdn.co/mp3-preview/b373edb39176ac3f93bd61ce14e2b6a4ff809314?cid=142c36ced4ff4aa68d784c0db9923467,39XC88hYxW8vPAzTAGWF6r,289041,Fact or Fiction,27,0.104,0.884,289042,0.558,39XC88hYxW8vPAzTAGWF6r,0.839,10,0.223,-11.958,1,0.055,121.995,4,0.341
36,2007,5PcCFmsEQz3wWeZ8q5amGF,Djuma Soundsystem,https://p.scdn.co/mp3-preview/e27aa15fe16259b322bf60e965198058298a71a1?cid=142c36ced4ff4aa68d784c0db9923467,6M3dYowAaxq2oSPHp1ctwM,375066,Les Djinns - Trentemoeller Remix,41,0.0318,0.757,375067,0.646,6M3dYowAaxq2oSPHp1ctwM,0.889,10,0.097,-10.176,0,0.0485,123.008,4,0.313
37,2012-02-11,6sOEMfvCfHQ9dhSWyamXVb,Nils Hoffmann,https://p.scdn.co/mp3-preview/0228884374a84d25dff272e10c601099f7733c77?cid=142c36ced4ff4aa68d784c0db9923467,2T1tonFTEzkwIvQAEEX6Kl,576774,Verwunschen - Marlon Hoffstadt Remix,30,0.201,0.805,576774,0.383,2T1tonFTEzkwIvQAEEX6Kl,0.92,10,0.0975,-13.468,1,0.0384,124.0,4,0.0547
38,2011-11-21,3hteYQFiMFbJY7wS0xDymP,Gesaffelstein,https://p.scdn.co/mp3-preview/58415fa539fa19188e9a762fcb0ba21a1393edf6?cid=142c36ced4ff4aa68d784c0db9923467,7pz85TDgSWcaZg0Buue9Rn,356727,Control Movement,41,0.00828,0.738,356728,0.785,7pz85TDgSWcaZg0Buue9Rn,0.911,1,0.0974,-5.982,1,0.0531,126.024,4,0.087
39,2006-02-10,2iKhiHxzHrGCmFlTxCPUOl,B. Fleischmann,https://p.scdn.co/mp3-preview/52e63b964eecbc3c1fc983a8695ebeb6841a8c68?cid=142c36ced4ff4aa68d784c0db9923467,6E1R2TP9e5cGYAMa42jbO5,264800,Static Grate,18,0.102,0.727,264800,0.889,6E1R2TP9e5cGYAMa42jbO5,0.849,2,0.0932,-7.415,1,0.0504,77.005,4,0.838
40,2012-11-23,04Zh21lNHZb2MCCcRcN2pc,Sorcha Richardson,https://p.scdn.co/mp3-preview/d3b352d4003bb11d672e3617c9547bae9852f287?cid=142c36ced4ff4aa68d784c0db9923467,3XhfZupDma6eBIx5zxKlqh,336015,Alone - David K & Lexer Remix,7,0.0453,0.847,336016,0.568,3XhfZupDma6eBIx5zxKlqh,0.405,9,0.676,-9.175,0,0.0893,123.01,4,0.292
41,2012-07-06,6ibcITDlc09IVkAN7RdNY6,Slavaki,https://p.scdn.co/mp3-preview/f5c79328769e3d30ae468e94134154159fe2a611?cid=142c36ced4ff4aa68d784c0db9923467,52YNwkC0tczOllegbrC7vN,401140,Walking In The Snow,1,0.0072,0.815,401140,0.648,52YNwkC0tczOllegbrC7vN,0.911,0,0.095,-10.198,1,0.0451,124.992,4,0.881
42,2012-11-26,3Dw9w3jnmr58ocgxiwITcq,Rone,https://p.scdn.co/mp3-preview/714ac4250a516619dc2a8967f16552da13747e73?cid=142c36ced4ff4aa68d784c0db9923467,4kEaTNNWoPiOOyXJnunpXe,554478,Parade (Dominik Eulberg Remix),36,0.223,0.667,554479,0.64,4kEaTNNWoPiOOyXJnunpXe,0.903,7,0.178,-8.622,1,0.0384,120.006,4,0.366
43,2012-09-03,1oXiuCd5F0DcnmXH5KaM6N,Kollektiv Turmstrasse,https://p.scdn.co/mp3-preview/e85db5b50b12f7ed32cbecba6951883478825674?cid=142c36ced4ff4aa68d784c0db9923467,1taX1RmFXHrCpTcAA094WC,573055,Schwindelig - Ian O'Donovan Remix,28,0.0268,0.627,573056,0.739,1taX1RmFXHrCpTcAA094WC,0.157,4,0.0962,-11.321,0,0.0361,122.034,4,0.746
44,2013-01-02,2fBURuq7FrlH6z5F92mpOl,Digitalism,https://p.scdn.co/mp3-preview/8951bd7fb1b1fc72277b37824e4c5f1479338d9a?cid=142c36ced4ff4aa68d784c0db9923467,7M9ozplFfutesn7OU6Ob0j,446887,Zdarlight - Chopstick & Johnjon Remix,28,0.502,0.786,446887,0.702,7M9ozplFfutesn7OU6Ob0j,0.671,0,0.0628,-6.007,1,0.0734,119.908,4,0.278
45,2011-08-22,4NVsRdBzHV8gR6JNB8JDpg,Sasha,https://p.scdn.co/mp3-preview/836684046920bdd8dde6c6d78a3eb77f4861a1fc?cid=142c36ced4ff4aa68d784c0db9923467,3GhH2QSUHyUoxsGUkXNRr6,560387,Cut Me Down - Original Mix,30,0.0765,0.689,560387,0.847,3GhH2QSUHyUoxsGUkXNRr6,0.683,11,0.347,-6.608,0,0.0507,127.997,4,0.604
46,2011-11-07,2mcNCn1qbZUQ3J9KHapUxj,The Dø,https://p.scdn.co/mp3-preview/0d18aef541cd5c8c7692660c8e6774bafa63212d?cid=142c36ced4ff4aa68d784c0db9923467,4hkzx4KLPDkABV2Xz22fls,310006,Too Insistent - Trentemøller Remix,48,0.302,0.754,310006,0.686,4hkzx4KLPDkABV2Xz22fls,0.00978,0,0.0773,-8.963,0,0.0384,111.966,4,0.276
47,2013-02-01,0iTjLBepeGaLgZS18kxgRq,Oliver Schories,https://p.scdn.co/mp3-preview/78550c38e04a49a1d84f093d78173c7cd945650e?cid=142c36ced4ff4aa68d784c0db9923467,3FV1zVLMiz3yOmmUGgTlfW,467660,Sunset - Joris Delacroix Remix,49,0.0672,0.719,467660,0.631,3FV1zVLMiz3yOmmUGgTlfW,0.69,2,0.17,-9.365,0,0.0363,121.99,3,0.0457
48,2013-01-04,6JCTbq2QLXb2aIXNXQvVNn,Matzak,https://p.scdn.co/mp3-preview/77130edb274ffdd0291293f586c2db39c0993890?cid=142c36ced4ff4aa68d784c0db9923467,5Uu69iWaGawwGn6rlCeBsx,369247,African Roots - Rodriguez Jr. Remix,8,0.00243,0.871,369247,0.543,5Uu69iWaGawwGn6rlCeBsx,0.933,9,0.102,-10.594,0,0.0564,124.999,3,0.794
49,2013-01-14,5yePldMswAMD9fvIfRUc2o,Droplex,https://p.scdn.co/mp3-preview/046e8fd991e6de791c387ff64fce9edb932dbf1d?cid=142c36ced4ff4aa68d784c0db9923467,7rTRrZgnMuffhHjd3mBsUb,375288,Gina - Original Mix,32,0.000666,0.797,375288,0.69,7rTRrZgnMuffhHjd3mBsUb,0.854,4,0.0801,-7.913,0,0.0703,127.983,4,0.174
50,2012-05-23,3SYkxKBdwKFCTxWDh9l5f9,Miyagi,https://p.scdn.co/mp3-preview/395c6316511c7a2505db5570cf59a1f06c79e6be?cid=142c36ced4ff4aa68d784c0db9923467,3xmRbsMOpuyVU7GsVlzKRi,459179,Woodpeckers Love Affair - Sascha Braemer & Dan Caster Remix,28,0.000275,0.818,459179,0.479,3xmRbsMOpuyVU7GsVlzKRi,0.908,8,0.0606,-8.813,0,0.143,122.006,4,0.148
